layers,bins,hidden,precision,eff_precision,fell_back,ms_per_frame,weight_bytes,nweights,heldout_nll,unbiased_rel_mean,firefly_p999,mean
6,24,48,fp32,fp32,False,61.80738280818332,150912,37728,-0.2762240171432495,0.002885654864748711,0.023982060833853326,0.00805807407872984
6,24,48,fp16-storage,fp16-storage,False,58.73496094136499,75456,37728,-0.2762240171432495,0.0028819855333567733,0.023982014320334817,0.008058103732043244
6,24,48,fp16-compute,fp16-compute,False,12.982835934963077,75456,37728,-0.2762240171432495,0.0029287132809431007,0.024008961027982372,0.008057726106695239
6,24,96,fp32,fp32,False,121.6077942517586,412416,103104,-0.2789281904697418,0.0026359332755186565,0.023937132828089767,0.00806009217733096
6,24,96,fp16-storage,fp16-storage,False,61.472994813811965,206208,103104,-0.2789281904697418,0.0026418391084640997,0.023937257774022273,0.008060044449966889
6,24,96,fp16-compute,fp16-compute,False,35.669132812472526,206208,103104,-0.2789281904697418,0.0026210432177382194,0.023920357438982933,0.008060212509757443
6,24,144,fp32,fp32,False,247.2103593754582,784512,196128,-0.2807370126247406,0.0019083963734718814,0.023790442325631007,0.008065971689826498
6,24,144,fp16-storage,fp16-storage,False,713.2484791218303,392256,196128,-0.2807370126247406,0.0019091321135329671,0.02379044047180491,0.00806596574402104
6,24,144,fp16-compute,fp16-compute,False,265.95028380688746,392256,196128,-0.2807370126247406,0.0018847754678883322,0.023780885647754303,0.008066162579675719
4,24,96,fp32,fp32,False,322.7387161896331,274944,68736,-0.2808907926082611,0.002519335385553288,0.023872468744005542,0.008061034450841865
4,24,96,fp16-storage,fp16-storage,False,87.0139323087642,137472,68736,-0.2808907926082611,0.002531909766790024,0.023848942002471677,0.008060932832310356
4,24,96,fp16-compute,fp16-compute,False,17.27526044123806,137472,68736,-0.2808907926082611,0.0025264294899297627,0.023849027801533203,0.008060977120587952
8,24,96,fp32,fp32,False,153.65219269006047,549888,137472,-0.2789640724658966,0.002373685577958649,0.023820799058797425,0.008062211504351201
8,24,96,fp16-storage,fp16-storage,False,95.35856250295183,274944,137472,-0.2789640724658966,0.0023527582135633423,0.02382083984297151,0.008062380626632304
8,24,96,fp16-compute,fp16-compute,False,50.7138697503251,274944,137472,-0.2789640724658966,0.002446751091566037,0.023820561596325483,0.008061621033133811
6,16,96,fp32,fp32,False,108.09769530897029,357120,89280,-0.2815595269203186,0.002369763096575466,0.023828080598189038,0.008062243203469474
6,16,96,fp16-storage,fp16-storage,False,60.36743230652064,178560,89280,-0.2815595269203186,0.0023814051151784645,0.0238279943247232,0.008062149119727939
6,16,96,fp16-compute,fp16-compute,False,103.77985937520862,178560,89280,-0.2815595269203186,0.0023679917883226865,0.023827284051447628,0.008062257518109702
6,32,96,fp32,fp32,False,562.1952291257912,467712,116928,-0.27946555614471436,0.002307036494879492,0.02391081224169054,0.008062750121864179
6,32,96,fp16-storage,fp16-storage,False,38.63644794182619,233856,116928,-0.27946555614471436,0.0023164316421748093,0.02391067069890552,0.008062674195975382
6,32,96,fp16-compute,fp16-compute,False,26.436171880050097,233856,116928,-0.27946555614471436,0.002308902802069991,0.02390997980322161,0.008062735039500087
